date,AAPL,XOM,GOOG,MSFT,GE,JNJ,WMT,CVX,PG,WF
2012-01-31,0.12711106388367632,-0.012034025199763487,-0.1018578561362472,0.137519342739574,0.04466785702443965,0.005032052301553902,0.026773812810368502,-0.03082705769122074,-0.05501421158768116,0.21876283762789517
2012-02-29,0.18831064973184297,0.032959183973231054,0.06574612075640052,0.07483911023233625,0.018172095816737732,-0.012592959332850429,-0.03715774059390897,0.05818463756251058,0.07265231483736811,0.1025209171152357
2012-03-30,0.10528351056927177,0.002658994219653099,0.03718564511743305,0.016383049779458148,0.05354329358877408,0.013521772786669661,0.03588352959094343,-0.017503701864817534,-0.006063353768262947,0.05243903705510178
2012-04-30,-0.02596951486352561,-0.0044967944945187854,-0.05674938679770658,-0.00743949209172301,-0.024414556953006206,-0.013038220331082706,-0.03741831638205373,-0.006062876653883831,-0.053117096460602475,-0.09212050159757568
2012-05-31,-0.01070237182150302,-0.08929811625193951,-0.03966278508104082,-0.08838222985633992,-0.025025491419920387,-0.041013795422850885,0.11729757256832452,-0.07742117262427128,-0.021213042445208163,-0.10497761524390747
2012-06-29,0.010852816684166822,0.08826151932830406,-0.0013600489925090775,0.04796159479405304,0.09167101134956468,0.08217200064071739,0.059252522029778154,0.07313602020417087,-0.016696114678180773,0.18538319072975917
2012-07-31,0.04582186673836719,0.01495849012504391,0.09119588349529484,-0.03661330500163451,-0.004318644814157779,0.024570797056566063,0.0675559227258189,0.038673004739336436,0.0537143020408164,-0.11699245773054867
2012-08-31,0.08920036345078897,0.0051814048401015445,0.08234194936491002,0.04580933307802271,-0.0019276838628538018,-0.025859592229708128,-0.024586887007926994,0.02354446023828327,0.041059822729162976,-0.022479570164531948
2012-09-28,0.0027960119572003617,0.047537157587497436,0.10131517734477957,-0.03439325113562619,0.09657165589790484,0.021948746848583722,0.01652899494570237,0.03922961700322336,0.03229645684487381,0.029268237068072134
2012-10-31,-0.10760008055823467,-0.003061771560254778,-0.09834326912409574,-0.04099459005376349,-0.07265519836523537,0.02771725278088777,0.016531083338844788,-0.05422100298937882,-0.0017301470338790814,-0.04434663368985614
2012-11-30,-0.016864906127251666,-0.03323460641076248,0.02656178160827527,-0.06727399904435893,0.003323851851851911,-0.0153910900875458,-0.039989337776166534,-0.04127354936998451,0.00852114409362037,0.002479701281515201
2012-12-31,-0.09074289570491378,-0.01803943746357428,0.012901507866588613,0.003380841345573149,-0.006625680921901744,0.0053061090503609964,-0.05262418991769757,0.023180972217220708,-0.027781797858175472,0.1784451836406391
2013-01-31,-0.14408927547413664,0.03951470689146008,0.06829424028713138,0.027705055324038108,0.061457857058909715,0.05449358215388256,0.025208763364703346,0.06482340544501031,0.10708506565156961,0.06056971194400407
2013-02-28,-0.03093370216689706,-0.004668200459395311,0.060223153953452124,0.012750382049166342,0.04219029787364348,0.029626664762625987,0.011865647399527557,0.01736864928582449,0.01357099448797272,0.021204378930069767
2013-03-28,0.002854553641059354,0.006253467127186996,-0.008749379688728576,0.029136763638013097,-0.004306594330083069,0.07121269122043516,0.05721959673946864,0.014255211024238656,0.011551562089787248,-0.05952375366568918
2013-04-30,2.7104323370452654e-4,-0.012429286289764807,0.038252793609838465,0.15693802317588168,-0.035899701179941124,0.04538211756877364,0.03862085958517025,0.02684734893115648,-0.003763314398217199,-0.04474534831688015
2013-05-31,0.015696375600425805,0.016631116229488985,0.056574982350016345,0.05438078878433772,0.046209080968456995,-0.012319640537851284,-0.037056162672977844,0.006065060141544842,-1.3019409131931337e-4,-0.03328197808940603
2013-06-28,-0.11829323720787166,-0.0013264396891075059,0.010502458531028713,-0.010315214308583842,-0.005574614046056192,0.0199572463768114,-0.004676617032422059,-0.035926712830957275,0.0029963000782620153,-0.11762833082252944
2013-07-31,0.14122507217663105,0.03763145628403897,0.008382881145252652,-0.0781702640946651,0.05088398430052954,0.08898205114160196,0.04631499654490545,0.06379925008616705,0.042992662501432966,0.08417628129438914
2013-08-30,0.07665796079056286,-0.07029329066666667,-0.04601519721061764,0.04899503768844227,-0.05047187920192864,-0.07582883422459896,-0.0636386819697542,-0.043371189477886984,-0.030012501992060958,-0.010996351789767989
2013-09-30,-0.021489332787321236,-0.012849964990823026,0.03425434144037931,-0.0035929039764729387,0.03241137078651679,0.003240342402946794,0.01342828116902095,0.008884829361454738,-0.029528861593643208,0.15902962749925487
2013-10-31,0.09638174499766095,0.04160857692226183,0.17658204566478553,0.06400243581738096,0.09418168953034267,0.06828929361427383,0.03772310759495823,-0.012674905349794319,0.0682630542803575,0.01860467952271616
2013-11-29,0.06384159670181733,0.04307074169591352,0.028149139366873133,0.07681448743292862,0.019892884772653163,0.022135870617256526,0.05550491205211716,0.020673583033291143,0.04297214860681109,0.019977179391133193
2013-12-31,0.008901796920609106,0.08258444322043945,0.0576827701790934,-0.018882795203703284,0.05138785973575177,-0.032431944541223556,-0.02863843899176788,0.020173162035720837,-0.03336496042074366,0.07246786264936067
